ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,anon_orig,anon_resp
1577344031.661572,COqcpN22rv9UXiWx6,185.153.197.161,44025,181.209.78.128,443,tcp,-,0.148079,0,0,RSTO,4,1,none,vt
1577344034.47217,CSUBNx1zaoMejxIiCj,185.153.197.161,44025,181.209.78.26,443,tcp,-,0.188764,0,0,RSTO,4,1,none,vt
1577344039.729614,CgZy0N1xljNO6qCOB4,185.153.197.161,44025,181.209.78.171,443,tcp,-,0.142575,0,0,RSTO,4,1,none,vt
1577344051.310383,ClGfjD2EA6FjfKdwI5,185.153.197.161,44025,181.209.68.236,80,tcp,-,0.144516,0,0,RSTO,4,1,none,vt
1577344054.552521,C4w5rH3aOFlsnhXai,185.153.197.161,44025,181.209.221.99,80,tcp,-,0.202773,0,0,RSTO,4,1,none,vt
1577344057.686537,Cgx9O91W0vHgsJ4VEh,185.153.197.161,44025,181.209.78.179,443,tcp,-,0.145462,0,0,RSTO,4,1,none,vt
1577344059.859286,C0BCnT2E0ErtUuWGea,185.153.197.161,44025,181.209.68.218,80,tcp,-,0.147056,0,0,RSTO,4,1,none,vt
1577344061.777785,CLHFk71Hg6GdB2EpJ,185.153.197.161,44025,181.209.68.251,80,tcp,-,0.142107,0,0,RSTO,4,1,none,vt
1577344063.827701,CzaH6q2gXbQKftB8D2,185.153.197.161,44025,181.209.78.138,443,tcp,-,0.143404,0,0,RSTO,4,1,none,vt
1577344064.059245,CDQMNNHn877241vYb,185.153.197.161,44025,181.209.223.74,80,tcp,-,0.203307,0,0,RSTO,4,1,none,vt
1577344066.086704,CSXWhp1N97AFxBNidd,185.153.197.161,44025,181.209.68.247,80,tcp,-,0.145602,0,0,RSTO,4,1,none,vt
1577344069.508052,C1ocmPJcMWQpkUKRj,185.153.197.161,44025,181.209.221.68,80,tcp,-,0.147474,0,0,RSTO,4,1,none,vt
1577344073.539525,CmaE982XZHGtoaShlj,185.153.197.161,44025,181.209.79.1,80,tcp,-,0.144144,0,0,RSTO,4,1,none,vt
1577344079.410929,Cpu8m624ulwwnicHA4,185.153.197.161,44025,181.209.139.77,443,tcp,-,0.145035,0,0,RSTO,4,1,none,vt
1577344080.488593,Csvosy21wfbOwrA03d,185.153.197.161,44025,181.209.79.31,80,tcp,-,0.154198,0,0,RSTO,4,1,none,vt
1577344084.014462,CFUCKGcPyXqERE4Zf,185.153.197.161,44025,192.81.235.140,443,tcp,-,0.141068,0,0,RSTO,4,1,none,vt
1577344088.112683,Crr42d14Y8VfGw51i,185.153.197.161,44025,192.81.235.218,443,tcp,-,0.139729,0,0,RSTO,4,1,none,vt
1577344089.75189,CGsaLZdWczmj25Wc4,185.153.197.161,44025,181.209.139.56,443,tcp,-,0.139633,0,0,RSTO,4,1,none,vt
1577344094.151278,CzEYY04vpLevAX4uc8,185.153.197.161,44025,181.209.221.211,80,tcp,-,0.142471,0,0,RSTO,4,1,none,vt
1577344096.275957,C0GaX024E64WjIZH3g,185.153.197.161,44025,181.209.79.58,80,tcp,-,0.141671,0,0,RSTO,4,1,none,vt
1577344103.400644,C0Wa6t3Q54D2jb9H2g,185.153.197.161,44025,181.209.79.192,80,tcp,-,0.144269,0,0,RSTO,4,1,none,vt
1577344105.023317,CQxZlo1kphMN0cDfB4,185.153.197.161,44025,192.81.235.217,443,tcp,-,0.1428,0,0,RSTO,4,1,none,vt
1577344108.305508,Cn062Oei4HqyaEDG,185.153.197.161,44025,181.209.139.5,443,tcp,-,0.141164,0,0,RSTO,4,1,none,vt
1577344111.61389,CSGawe1PbaENWViwLc,185.153.197.161,44025,181.209.222.207,80,tcp,-,0.149979,0,0,RSTO,4,1,none,vt
1577344113.355807,Ck8CaX26AA9XOD3q0i,185.153.197.161,44025,181.209.139.60,443,tcp,-,0.146168,0,0,RSTO,4,1,none,vt
1577344113.376363,CH9XgXJzstIDHbkqe,185.153.197.161,44025,192.81.235.206,443,tcp,-,0.150294,0,0,RSTO,4,1,none,vt
1577344114.061812,CI7vrNr4ugd5RcMH4,185.153.197.161,44025,181.209.139.14,443,tcp,-,0.144648,0,0,RSTO,4,1,none,vt
1577344116.946965,CgPUV5ZlebfVsPSTk,185.153.197.161,44025,181.209.102.247,443,tcp,-,0.140733,0,0,RSTO,4,1,none,vt
1577344119.56363,CEZUdi2od4gTXVBJrg,185.153.197.161,44025,192.81.235.143,443,tcp,-,0.143796,0,0,RSTO,4,1,none,vt
1577344121.935342,CvtDEG2B1b8WqpH5Ug,185.153.197.161,44025,192.81.235.144,443,tcp,-,0.142588,0,0,RSTO,4,1,none,vt
1577344123.590135,CdrdEK31QXCzdc0IJ6,185.153.197.161,44025,192.81.235.203,443,tcp,-,0.144254,0,0,RSTO,4,1,none,vt
1577344128.020792,CEijrt4OGbEYwi9hnh,185.153.197.161,44025,181.209.139.58,443,tcp,-,0.16946,0,0,RSTO,4,1,none,vt
1577344128.514897,CgPtB82W7BBfx7wc4l,185.153.197.161,44025,192.81.235.154,443,tcp,-,0.147205,0,0,RSTO,4,1,none,vt
1577344128.772854,CB2ANFj70s241tvj7,185.153.197.161,44025,192.81.235.149,443,tcp,-,0.14696,0,0,RSTO,4,1,none,vt
1577344131.387466,CyMcbx26WEHDiC0dFc,185.153.197.161,44025,192.81.235.170,443,tcp,-,0.149222,0,0,RSTO,4,1,none,vt
1577344136.878846,Cn6FaI3ZuTv6vwdIKg,185.153.197.161,44025,192.81.235.172,443,tcp,-,0.153724,0,0,RSTO,4,1,none,vt
1577344138.745675,CtAZke1KoqAwVl88Ia,185.153.197.161,44025,192.81.235.159,443,tcp,-,0.147142,0,0,RSTO,4,1,none,vt
1577344142.872802,CkRcbe4mjzLhuGYoFb,185.153.197.161,44025,181.209.30.230,80,tcp,-,0.154867,0,0,RSTO,4,1,none,vt
1577344148.744856,C4bzpA4eLps8C7XOC1,185.153.197.161,44025,192.81.235.167,443,tcp,-,0.145129,0,0,RSTO,4,1,none,vt
1577344153.303549,CKDJ0444LtTJtlQMOj,185.153.197.161,44025,181.209.49.133,443,tcp,-,0.145464,0,0,RSTO,4,1,none,vt
