ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,anon_orig,anon_resp
1577180227.911835,CcxxUjBXiE5FUPQl3,216.243.31.2,34120,192.81.218.145,80,tcp,-,0.077221,0,0,RSTO,2,1,none,vt
1577180231.796106,CRqeKn4ZyHGWWayYC,216.243.31.2,40323,181.209.79.249,80,tcp,-,0.075587,0,0,RSTO,2,1,none,vt
1577180233.160998,CCZrWfGQ3e9qZdwu5,216.243.31.2,46159,181.209.79.45,80,tcp,-,0.077391,0,0,RSTO,2,1,none,vt
1577180236.980724,Cu72xh3G6TzYZOE8Vl,216.243.31.2,56238,181.209.139.73,80,tcp,-,0.077471,0,0,RSTO,2,1,none,vt
1577180248.836663,CxBG2e1Sv77Onwk7G4,216.243.31.2,41218,192.81.241.33,80,tcp,-,0.076469,0,0,RSTO,2,1,none,vt
1577180258.07038,CBoyTl2yFBdMJTXODd,216.243.31.2,34525,181.209.252.141,80,tcp,-,0.077494,0,0,RSTO,2,1,none,vt
1577180278.379442,C2t0ED2Ul6LcbGZGFi,216.243.31.2,51069,181.209.68.109,80,tcp,-,0.076161,0,0,RSTO,2,1,none,vt
1577180295.653089,CcNwuD24ZoPqk90a5c,216.243.31.2,40706,181.209.176.56,80,tcp,-,0.075355,0,0,RSTO,2,1,none,vt
1577180362.087576,Cqtyjt1WE6xeJY29mi,216.243.31.2,36534,192.81.7.233,80,tcp,-,0.110428,0,0,RSTO,2,1,none,vt
1577180365.327724,Cc1IRE2cqQVN9dCkFl,216.243.31.2,60796,181.209.10.109,80,tcp,-,0.076563,0,0,RSTO,2,1,none,vt
1577180370.339287,CZTH314zzQ8kw9Kxj5,216.243.31.2,58173,181.209.68.170,80,tcp,-,0.076018,0,0,RSTO,2,1,none,vt
1577180411.040251,CohUpS1apIQeaDQg5j,216.243.31.2,55342,181.209.104.59,80,tcp,-,0.080051,0,0,RSTO,2,1,none,vt
1577180474.911528,CXHpZe3aRBbbBBDiVb,216.243.31.2,49410,181.209.137.65,80,tcp,-,0.076925,0,0,RSTO,2,1,none,vt
1577180479.552961,CRKcy61CEciyLiBeH,216.243.31.2,40277,192.81.162.113,80,tcp,-,0.077543,0,0,RSTO,2,1,none,vt
1577180496.875928,CvCcmqukNj8n60m6,216.243.31.2,37355,192.81.240.6,80,tcp,-,0.076593,0,0,RSTO,2,1,none,vt
1577180502.197603,C2meAz2yY8kYZektgg,216.243.31.2,42788,181.209.68.27,80,tcp,-,0.083937,0,0,RSTO,2,1,none,vt
1577180503.117747,CzSgB33QvxBdjsGv6d,216.243.31.2,39195,192.81.227.120,80,tcp,-,0.078042,0,0,RSTO,2,1,none,vt
1577180523.186256,CS7dBy3XxRXmMv6aJj,216.243.31.2,59852,192.81.241.66,80,tcp,-,0.075107,0,0,RSTO,2,1,none,vt
1577180565.036792,CVnb56yAGM3qgez5,216.243.31.2,56214,192.81.235.159,80,tcp,-,0.075406,0,0,RSTO,2,1,none,vt
1577180575.816529,CAvZqiabtXRFPa146,216.243.31.2,58678,181.209.158.54,80,tcp,-,0.075991,0,0,RSTO,2,1,none,vt
1577180578.541483,C2cKnp2MPErl2kO9ok,216.243.31.2,48636,181.209.236.234,80,tcp,-,0.076662,0,0,RSTO,2,1,none,vt
1577180593.261781,C645s815ScGQVzzpN3,216.243.31.2,56003,181.209.15.112,80,tcp,-,0.075288,0,0,RSTO,2,1,none,vt
1577180596.03438,CpjmOS3LpecwDZskhb,216.243.31.2,47925,181.209.221.15,80,tcp,-,0.077413,0,0,RSTO,2,1,none,vt
1577180599.008927,CFC5Aa45o4kzejyNvd,216.243.31.2,53767,181.209.117.151,80,tcp,-,0.075785,0,0,RSTO,2,1,none,vt
1577180620.762965,CuS4d64zpmgpkSIuA8,216.243.31.2,57628,192.81.232.227,80,tcp,-,0.076432,0,0,RSTO,2,1,none,vt
1577180633.229547,CtJiM83ZAhZ6ohhhg,216.243.31.2,43872,192.81.172.186,80,tcp,-,0.075057,0,0,RSTO,2,1,none,vt
1577180642.691199,CfGssN3cuHwYGW6Im9,216.243.31.2,54396,192.81.172.180,80,tcp,-,0.076403,0,0,RSTO,2,1,none,vt
1577180663.712324,COSciZ2PA1meyChwE,216.243.31.2,55440,181.209.74.190,80,tcp,-,0.07536,0,0,RSTO,2,1,none,vt
1577180665.403772,CCeP0s1QZJeAmCXCxb,216.243.31.2,42979,181.209.191.185,80,tcp,-,0.077156,0,0,RSTO,2,1,none,vt
1577180685.613791,CchkNV2TEl4oU1L6r2,216.243.31.2,50675,181.209.49.235,80,tcp,-,0.081938,0,0,RSTO,2,1,none,vt
1577180765.543385,CGiVGeybhQ3vS6RQg,216.243.31.2,49805,181.209.25.66,80,tcp,-,0.077345,0,0,RSTO,2,1,none,vt
1577180768.371203,CdUPEv1dejE4Iasxgl,216.243.31.2,59351,181.209.139.193,80,tcp,-,0.076104,0,0,RSTO,2,1,none,vt
1577180774.834433,CYwAZB1TM7NiXdy8Q6,216.243.31.2,39918,181.209.161.87,80,tcp,-,0.07766,0,0,RSTO,2,1,none,vt
1577180806.952304,CyQFUb1tpw0LdK1w84,216.243.31.2,55705,181.209.253.158,80,tcp,-,0.075357,0,0,RSTO,2,1,none,vt
1577180810.878096,C8aaeE3wJHJXynv1h4,216.243.31.2,50404,181.209.235.188,80,tcp,-,0.076561,0,0,RSTO,2,1,none,vt
1577180826.861075,CWUAaa1V2W5XVM2ZV6,216.243.31.2,54732,192.81.185.135,80,tcp,-,0.076736,0,0,RSTO,2,1,none,vt
1577180841.179394,C2GSM1IJe8fr7RVM9,216.243.31.2,49793,181.209.68.199,80,tcp,-,0.076061,0,0,RSTO,2,1,none,vt
1577180842.954147,Cn4Fqv1Tnsi3KfsA8e,216.243.31.2,51911,181.209.167.216,80,tcp,-,0.076866,0,0,RSTO,2,1,none,vt
1577180846.25242,Ch8JZo4lLpODRtPvYj,216.243.31.2,43076,192.81.212.72,80,tcp,-,0.083949,0,0,RSTO,2,1,none,vt
1577180847.188246,C0zsskxzXArSA4Hg4,216.243.31.2,56898,181.209.69.22,80,tcp,-,0.075386,0,0,RSTO,2,1,none,vt
1577180868.645609,CfBUCdbjKdgZmZUi,216.243.31.2,59073,192.81.185.191,80,tcp,-,0.075117,0,0,RSTO,2,1,none,vt
1577180922.408468,CXyeceqUmZvEDET9c,216.243.31.2,46535,192.81.158.51,80,tcp,-,0.076937,0,0,RSTO,2,1,none,vt
1577180979.243133,CROKFQ1kSgrQXDmCVk,216.243.31.2,49457,181.209.63.165,80,tcp,-,0.077563,0,0,RSTO,2,1,none,vt
1577181013.611962,C8CmJEEP4eBMmQYx1,216.243.31.2,54287,181.209.84.59,80,tcp,-,0.075256,0,0,RSTO,2,1,none,vt
1577181050.70014,C8VGB63Ah6BxNLzR7h,216.243.31.2,42928,192.81.229.90,80,tcp,-,0.076608,0,0,RSTO,2,1,none,vt
1577181051.316057,CjPNIw1qkbXK14YX7,216.243.31.2,53806,181.209.236.183,80,tcp,-,0.075941,0,0,RSTO,2,1,none,vt
1577181061.949353,CqGB9E4QrrLx81fDvk,216.243.31.2,52834,181.209.206.159,80,tcp,-,0.082459,0,0,RSTO,2,1,none,vt
1577181062.071768,Cm8y3Pe5USMWkztb4,216.243.31.2,45877,181.209.205.117,80,tcp,-,0.076292,0,0,RSTO,2,1,none,vt
1577181070.188856,CvPecl2SYd7tGPFuGg,216.243.31.2,60813,181.209.171.223,80,tcp,-,0.076498,0,0,RSTO,2,1,none,vt
1577181085.649324,CFjL7G2icKLFMYSGjh,216.243.31.2,41397,181.209.23.130,80,tcp,-,0.076074,0,0,RSTO,2,1,none,vt
1577181106.301325,CXit3PMpqPySdYif1,216.243.31.2,47499,192.81.207.86,80,tcp,-,0.084743,0,0,RSTO,2,1,none,vt
1577181113.562567,CFvMKQ18EJNSHlTWn7,216.243.31.2,54151,181.209.189.202,80,tcp,-,0.076233,0,0,RSTO,2,1,none,vt
1577181120.630369,CnKGPH3MfDmZljcHnj,216.243.31.2,33000,192.81.232.162,80,tcp,-,0.076447,0,0,RSTO,2,1,none,vt
1577181129.355685,CX99ax4m7NDp9ogfSh,216.243.31.2,38192,181.209.69.25,80,tcp,-,0.07536,0,0,RSTO,2,1,none,vt
1577181137.298537,CU7m0b2387NvpENaTe,216.243.31.2,44972,181.209.223.248,80,tcp,-,0.077286,0,0,RSTO,2,1,none,vt
1577181171.958283,CpizLq250rBAU2qbQc,216.243.31.2,52989,192.81.207.171,80,tcp,-,0.077639,0,0,RSTO,2,1,none,vt
1577181205.058525,CYinVS2VIXE6Udxqj3,216.243.31.2,59634,192.81.158.89,80,tcp,-,0.075,0,0,RSTO,2,1,none,vt
1577181212.706326,CfekdP18YtM7EGvQvg,216.243.31.2,56334,181.209.79.127,80,tcp,-,0.07595,0,0,RSTO,2,1,none,vt
1577181226.353107,CebnCk2nVjCHXnlYwi,216.243.31.2,56406,181.209.221.203,80,tcp,-,0.084251,0,0,RSTO,2,1,none,vt
1577181248.964815,CnIYXT1BYJV55zOIB3,216.243.31.2,47111,181.209.129.181,80,tcp,-,0.077581,0,0,RSTO,2,1,none,vt
1577181249.681393,CFWlOu2XppwIxngYjj,216.243.31.2,44962,181.209.216.78,80,tcp,-,0.076579,0,0,RSTO,2,1,none,vt
1577181250.088302,CvSkWL1AcPkmphDnS8,216.243.31.2,46682,181.209.142.155,80,tcp,-,0.077402,0,0,RSTO,2,1,none,vt
1577181251.925909,C0Yf263x4l94FauEEd,216.243.31.2,36027,181.209.68.166,80,tcp,-,0.077227,0,0,RSTO,2,1,none,vt
1577181260.842901,CHFCbo3ZZfjEQs39xh,216.243.31.2,39913,192.81.162.180,80,tcp,-,0.075575,0,0,RSTO,2,1,none,vt
1577181280.586896,C2TQrnatSRv1VKdv3,216.243.31.2,59224,192.81.232.153,80,tcp,-,0.076441,0,0,RSTO,2,1,none,vt
1577181293.440369,CaGXtd5vGSuIRfCBd,216.243.31.2,40770,181.209.57.35,80,tcp,-,0.077136,0,0,RSTO,2,1,none,vt
1577181305.613223,CMMUCI1EkbYAJF9Zm8,216.243.31.2,33960,192.81.220.83,80,tcp,-,0.076848,0,0,RSTO,2,1,none,vt
1577181306.008703,Cg9Bbx4nO35hIzZZQk,216.243.31.2,60888,192.81.172.236,80,tcp,-,0.075662,0,0,RSTO,2,1,none,vt
1577181322.582102,CPxdKlpK82VBFiss8,216.243.31.2,34642,192.81.168.142,80,tcp,-,0.07622,0,0,RSTO,2,1,none,vt
1577181334.315939,CFGnfm42FryTckqt1j,216.243.31.2,44142,192.81.228.185,80,tcp,-,0.076091,0,0,RSTO,2,1,none,vt
1577181363.85425,CRvUx8o9C4lPensab,216.243.31.2,45840,181.209.178.84,80,tcp,-,0.07528,0,0,RSTO,2,1,none,vt
1577181370.266491,CaYdue1nLJEZgSHV8i,216.243.31.2,34662,181.209.158.162,80,tcp,-,0.076743,0,0,RSTO,2,1,none,vt
1577181377.475802,CCDTyC1iNGA1AmuBj,216.243.31.2,39799,192.81.241.247,80,tcp,-,0.078042,0,0,RSTO,2,1,none,vt
1577181440.246811,CRvgzO2vEbaTTHbIR9,216.243.31.2,46584,181.209.85.93,80,tcp,-,0.077272,0,0,RSTO,2,1,none,vt
1577181445.722055,CTOWVTMSvoXmDzXH2,216.243.31.2,51790,192.81.172.169,80,tcp,-,0.076596,0,0,RSTO,2,1,none,vt
1577181461.135837,CyQQNh3t54P5G6UBK3,216.243.31.2,34776,181.209.48.45,80,tcp,-,0.07555,0,0,RSTO,2,1,none,vt
1577181462.315656,CYrEgj33nZFYWdUtC2,216.243.31.2,58320,181.209.68.65,80,tcp,-,0.076846,0,0,RSTO,2,1,none,vt
1577181472.231111,CT0AOo36CE7ThBN9R4,216.243.31.2,54227,181.209.188.162,80,tcp,-,0.077291,0,0,RSTO,2,1,none,vt
1577181494.39314,CdoNS73s64w48qkUj1,216.243.31.2,33841,181.209.189.240,80,tcp,-,0.077665,0,0,RSTO,2,1,none,vt
1577181510.880037,CYKDF52zPvrzkSwra5,216.243.31.2,42161,192.81.252.148,80,tcp,-,0.074932,0,0,RSTO,2,1,none,vt
1577181516.058272,CqFn1q3BFQl4LQLqpb,216.243.31.2,37734,181.209.158.245,80,tcp,-,0.084345,0,0,RSTO,2,1,none,vt
1577181554.331834,CBPLvSt6PLktIIHFc,216.243.31.2,46535,181.209.4.60,80,tcp,-,0.077146,0,0,RSTO,2,1,none,vt
1577181589.701083,CL1hJr1qGfy2yjgKXa,216.243.31.2,54888,181.209.68.163,80,tcp,-,0.078406,0,0,RSTO,2,1,none,vt
1577181593.190677,C6EfHt2nQThtSEohw9,216.243.31.2,41211,181.209.206.90,80,tcp,-,0.075852,0,0,RSTO,2,1,none,vt
1577181622.823388,Cv1bh9f1I6vQ3jKfl,216.243.31.2,44730,192.81.162.230,80,tcp,-,0.076988,0,0,RSTO,2,1,none,vt
1577181661.398266,Ccep6y29oZDfawj7Yj,216.243.31.2,41096,181.209.188.77,80,tcp,-,0.075736,0,0,RSTO,2,1,none,vt
1577181697.795115,Cah35H2RswrF1Elt7k,216.243.31.2,42587,192.81.229.84,80,tcp,-,0.08426,0,0,RSTO,2,1,none,vt
1577181730.296132,CG0JSA2OrIijtaZxVa,216.243.31.2,59512,181.209.48.22,80,tcp,-,0.0759,0,0,RSTO,2,1,none,vt
1577181746.511774,CmJ26O3M4e2U8elyG,216.243.31.2,60910,192.81.185.189,80,tcp,-,0.075898,0,0,RSTO,2,1,none,vt
1577181758.651202,Cv3Ea44ayq9RgLZ3Y,216.243.31.2,33992,181.209.22.104,80,tcp,-,0.076725,0,0,RSTO,2,1,none,vt
1577181783.024823,CIOEsqncjZmMwjYUl,216.243.31.2,60315,192.81.218.214,80,tcp,-,0.076608,0,0,RSTO,2,1,none,vt
1577181792.257648,COd4cMMVehflLOJK6,216.243.31.2,57608,181.209.107.79,80,tcp,-,0.075351,0,0,RSTO,2,1,none,vt
1577181792.886583,CY0NGL3VYZQZx2CoY3,216.243.31.2,39085,181.209.137.250,80,tcp,-,0.076943,0,0,RSTO,2,1,none,vt
1577181797.341309,C2Vq4H3kWvspLZtcYe,216.243.31.2,52718,181.209.108.59,80,tcp,-,0.07526,0,0,RSTO,2,1,none,vt
1577181812.517974,CIJfB982ElVtOszs7,216.243.31.2,59638,192.81.173.33,80,tcp,-,0.076917,0,0,RSTO,2,1,none,vt
1577181822.22659,CGlJKS16hpSlVtwqC5,216.243.31.2,33388,181.209.139.5,80,tcp,-,0.076805,0,0,RSTO,2,1,none,vt
1577181830.485204,Czu1Dn1nEN8yOXV9j5,216.243.31.2,45820,192.81.190.214,80,tcp,-,0.088569,0,0,RSTO,2,1,none,vt
1577181838.92511,C4mV9N1Q3XHUCL35s2,216.243.31.2,54435,181.209.57.96,80,tcp,-,0.082014,0,0,RSTO,2,1,none,vt
1577181840.161545,CE80zx4A97qPuCZTQ5,216.243.31.2,50304,192.81.251.16,80,tcp,-,0.077442,0,0,RSTO,2,1,none,vt
1577181839.728321,C0ADQG1tgh3xRux1t9,216.243.31.2,40432,181.209.187.71,80,tcp,-,0.07723,0,0,RSTO,2,1,none,vt
1577181847.778392,CdUqbgXY1jbJqsin5,216.243.31.2,38317,192.81.158.8,80,tcp,-,0.075626,0,0,RSTO,2,1,none,vt
1577181848.237077,CHSdJc1OeamzVoWG7f,216.243.31.2,52270,181.209.162.230,80,tcp,-,0.077742,0,0,RSTO,2,1,none,vt
1577181848.494282,CyNQOH2muzqJk55pb1,216.243.31.2,38180,192.81.234.115,80,tcp,-,0.075083,0,0,RSTO,2,1,none,vt
1577181852.629094,CaNjeQ3KbzT80YREG3,216.243.31.2,56334,181.209.20.117,80,tcp,-,0.730731,0,0,RSTO,2,1,none,vt
1577181869.937318,CDzqgMENDAutdwz1c,216.243.31.2,40499,181.209.68.143,80,tcp,-,0.076708,0,0,RSTO,2,1,none,vt
1577181875.29376,CpKghR3GJCnOwSilV9,216.243.31.2,40541,192.81.172.70,80,tcp,-,0.075545,0,0,RSTO,2,1,none,vt
1577181890.848212,CsZpFC1TOorD9NpU55,216.243.31.2,37665,181.209.68.142,80,tcp,-,0.076876,0,0,RSTO,2,1,none,vt
1577181911.358351,CO53kP56Ryb1bDE43,216.243.31.2,53837,192.81.218.212,80,tcp,-,0.075081,0,0,RSTO,2,1,none,vt
1577181916.313576,Csf0l03w7YJDcATcSh,216.243.31.2,43387,192.81.172.30,80,tcp,-,0.076887,0,0,RSTO,2,1,none,vt
1577181919.858896,CQOAsX2D4lDm9MDesk,216.243.31.2,35246,181.209.20.19,80,tcp,-,0.076615,0,0,RSTO,2,1,none,vt
