ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,anon_orig,anon_resp
2019-12-26T09:38:12.139386Z,C6PKeH3W7m6BA7z79g,216.243.31.2,50635,181.230.3.45,80,tcp,-,0.067883,0,0,RSTO,4,2,none,uva
2019-12-26T09:38:12.085560Z,CSRUbgunHn9KZYRO9,216.243.31.2,56280,181.230.217.141,80,tcp,-,0.069278,0,0,RSTO,4,2,none,uva
2019-12-26T09:38:40.939140Z,CAPIIz1mj8wV8etrKk,216.243.31.2,33829,181.230.91.65,80,tcp,-,0.068327,0,0,RSTO,4,2,none,uva
2019-12-26T09:38:52.349272Z,CO27lt2R8UuLLmF1be,216.243.31.2,57332,181.230.2.226,80,tcp,-,0.069425,0,0,RSTO,4,2,none,uva
2019-12-26T09:39:31.935522Z,CEQ76T1yi4zfij0mF7,216.243.31.2,45072,181.230.11.116,80,tcp,-,0.067861,0,0,RSTO,4,2,none,uva
2019-12-26T09:41:01.258983Z,CDA8Ts4iMGmnUUdgE4,216.243.31.2,35693,181.230.210.25,80,tcp,-,0.068561,0,0,RSTO,4,2,none,uva
2019-12-26T09:41:03.620921Z,Cb30O13mcKHuLT48Eh,216.243.31.2,47745,181.230.87.40,80,tcp,-,0.069116,0,0,RSTO,4,2,none,uva
2019-12-26T09:41:31.664887Z,CGd1Ew3rq3d8r3Uyb4,216.243.31.2,38942,181.230.23.125,80,tcp,-,0.068385,0,0,RSTO,4,2,none,uva
2019-12-26T09:41:36.071525Z,CeTl9F2xDLDyZXTNG6,216.243.31.2,56366,181.230.9.53,80,tcp,-,0.067774,0,0,RSTO,4,2,none,uva
2019-12-26T09:42:50.219517Z,CdddTP2Q3NJDAckv45,216.243.31.2,39575,181.230.216.207,80,tcp,-,0.068311,0,0,RSTO,4,2,none,uva
2019-12-26T09:43:39.811492Z,CCCU6K3V3AmqtO8fR2,216.243.31.2,37170,181.230.255.31,80,tcp,-,-,-,-,OTH,0,2,none,uva
2019-12-26T09:44:54.827763Z,Cm6dXs3ij8UGBLVmmf,216.243.31.2,34310,181.230.118.192,80,tcp,-,0.068417,0,0,RSTO,4,2,none,uva
2019-12-26T09:45:27.484559Z,Cyq62i4xRVQ8ksXE3h,216.243.31.2,57651,181.230.216.159,80,tcp,-,0.068548,0,0,RSTO,4,2,none,uva
2019-12-26T09:46:14.611988Z,CpDaCH3W6Z5vaGKKMl,216.243.31.2,41264,181.230.49.219,80,tcp,-,0.067843,0,0,RSTO,4,2,none,uva
2019-12-26T09:46:26.981388Z,CCqqNa2ONrQz047VT1,216.243.31.2,51801,181.230.216.53,80,tcp,-,0.068145,0,0,RSTO,4,2,none,uva
2019-12-26T09:47:46.571985Z,CXBp6C4WV26Llxu2ka,216.243.31.2,55264,181.230.219.161,80,tcp,-,0.067637,0,0,RSTO,4,2,none,uva
2019-12-26T09:48:41.481685Z,CAU6v614lIJANDz1zk,216.243.31.2,44049,181.230.229.243,80,tcp,-,0.068405,0,0,RSTO,4,2,none,uva
2019-12-26T09:48:46.306706Z,CeqXZY3np8I9KmXeAh,216.243.31.2,53671,181.230.143.59,80,tcp,-,0.069103,0,0,RSTO,4,2,none,uva
2019-12-26T09:49:50.294154Z,CeJIu7Posk2THWHXi,216.243.31.2,51324,181.230.227.167,80,tcp,-,0.068015,0,0,RSTO,4,2,none,uva
2019-12-26T09:50:58.254415Z,CAQkP31ehULMLJUMe5,216.243.31.2,51278,181.230.118.187,80,tcp,-,0.068119,0,0,RSTO,4,2,none,uva
2019-12-26T09:51:14.750641Z,C37O1U3PtqBf49Fni,216.243.31.2,41776,181.230.216.180,80,tcp,-,0.067653,0,0,RSTO,4,2,none,uva
2019-12-26T09:51:20.287177Z,CwYHgQVq6HRfn6l1k,216.243.31.2,57344,181.230.112.197,80,tcp,-,0.067786,0,0,RSTO,4,2,none,uva
2019-12-26T09:51:26.536635Z,Cy8g7K1rzRndRuVlZ4,216.243.31.2,47702,181.230.115.142,80,tcp,-,0.067643,0,0,RSTO,4,2,none,uva
2019-12-26T09:51:29.904283Z,C0q4XFGekVQmKjptl,216.243.31.2,48033,181.230.255.167,80,tcp,-,-,-,-,OTH,0,2,none,uva
2019-12-26T09:52:42.119242Z,C0yr6Q3cd0cZw8bt9a,216.243.31.2,59784,181.230.255.44,80,tcp,-,-,-,-,OTH,0,2,none,uva
2019-12-26T09:54:04.486707Z,CXywdZM9K7knBsKn2,216.243.31.2,44111,181.230.217.190,80,tcp,-,0.068308,0,0,RSTO,4,2,none,uva
2019-12-26T09:55:24.227309Z,CQYvQw4tprCWzyz7c7,216.243.31.2,57450,181.230.120.103,80,tcp,-,0.067951,0,0,RSTO,4,2,none,uva
2019-12-26T09:56:19.530202Z,Cj381DWQs6XQKZR2,216.243.31.2,47042,181.230.218.96,80,tcp,-,0.068527,0,0,RSTO,4,2,none,uva
2019-12-26T09:56:19.801469Z,Cw39AE1M3sy3uoHiyb,216.243.31.2,45747,181.230.217.215,80,tcp,-,0.068356,0,0,RSTO,4,2,none,uva
2019-12-26T09:57:21.963342Z,CDm2L94sE4XcR72Bef,216.243.31.2,59647,181.230.23.29,80,tcp,-,0.067755,0,0,RSTO,4,2,none,uva
2019-12-26T09:57:40.345808Z,CSSpxU2PAHL7NT8889,216.243.31.2,49484,181.230.216.68,80,tcp,-,0.068753,0,0,RSTO,4,2,none,uva
2019-12-26T09:57:43.123546Z,Cbv8QQ2uJZx1asvsPc,216.243.31.2,60243,181.230.22.153,80,tcp,-,0.0676,0,0,RSTO,4,2,none,uva
2019-12-26T09:57:53.578924Z,CpYJ6K2zjCOwgTTfNc,216.243.31.2,40882,181.230.20.51,80,tcp,-,0.067825,0,0,RSTO,4,2,none,uva
2019-12-26T09:59:02.922196Z,CdOhJi3CdjKjxrl0Ea,216.243.31.2,44762,181.230.111.101,80,tcp,-,0.070523,0,0,RSTO,4,2,none,uva
2019-12-26T09:59:25.936831Z,CeWJ4F16ddkAZpPWJ,216.243.31.2,37515,181.230.205.133,80,tcp,-,0.067942,0,0,RSTO,4,2,none,uva
2019-12-26T10:00:21.603005Z,C3xIqr4tKOWix0ec04,216.243.31.2,44251,181.230.210.8,80,tcp,-,0.067579,0,0,RSTO,4,2,none,uva
2019-12-26T10:00:29.002263Z,CDrDLj2XOz0j2WhuX7,216.243.31.2,35890,181.230.216.100,80,tcp,-,0.06786,0,0,RSTO,4,2,none,uva
2019-12-26T10:00:34.904240Z,CrGqfL1uWHbUSx4UU9,216.243.31.2,49431,181.230.18.89,80,tcp,-,0.075307,0,0,RSTO,4,2,none,uva
2019-12-26T10:00:48.863230Z,Cifg3eq6uk4HFhdb9,216.243.31.2,45244,181.230.60.23,80,tcp,-,0.067879,0,0,RSTO,4,2,none,uva
2019-12-26T10:00:53.259046Z,C8cLQa34QTGkcG29k7,216.243.31.2,49667,181.230.118.62,80,tcp,-,0.067681,0,0,RSTO,4,2,none,uva
2019-12-26T10:01:04.615282Z,Cpknsl3Bymx4mUxJIb,216.243.31.2,36101,181.230.251.50,80,tcp,-,0.068329,0,0,RSTO,4,2,none,uva
2019-12-26T10:01:25.387571Z,CB1QJx1WCbHa44Plsh,216.243.31.2,45252,181.230.142.81,80,tcp,-,0.069955,0,0,RSTO,4,2,none,uva
2019-12-26T10:02:05.750719Z,CB53ncFdIGJQ72eGd,216.243.31.2,53867,181.230.188.234,80,tcp,-,0.068384,0,0,RSTO,4,2,none,uva
